X_Minimum;X_Maximum;X_Rank;Y_Minimum;Y_Maximum;Y_Rank;Pixels_Areas;X_Perimeter;Y_Perimeter;Sum_of_Luminosity;Minimum_of_Luminosity;Maximum_of_Luminosity;Luminosity_Rank;Length_of_Conveyer;TypeOfSteel_A300;TypeOfSteel_A400;Steel_Plate_Thickness;Edges_Index;Empty_Index;Square_Index;Outside_X_Index;Edges_X_Index;Edges_Y_Index;Outside_Global_Index;LogOfAreas;Log_X_Index;Log_Y_Index;Orientation_Index;Luminosity_Index;SigmoidOfAreas;Class
616;622;6;2182058;2182079;21;82;14;21;9584;109;126;17;1366;0;1;100;9019;3492;2857;44;4286;1;1;19138;7782;13222;7143;-869;2359;1
615;622;7;2188217;2188232;15;57;13;15;6560;107;127;20;1366;0;1;100;9004;4571;4667;51;5385;1;1;17559;8451;11761;5333;-1009;2116;1
615;623;8;2197352;2197376;24;111;21;24;12919;106;127;21;1366;0;1;100;9004;4219;3333;59;381;1;1;20453;9031;13802;6667;-907;3241;1
614;622;8;2206544;2206572;28;161;18;28;18877;108;134;26;1364;0;1;100;9003;2813;2857;59;4444;1;1;22068;9031;14472;7143;-84;3725;1
614;622;8;2215716;2215730;14;68;13;14;7990;109;133;24;1364;0;1;100;9003;3929;5714;59;6154;1;1;18325;9031;11461;4286;-82;2195;1
616;622;6;2224908;2224928;20;87;15;20;10196;109;127;18;1364;0;1;100;9032;275;3;44;4;1;1;19395;7782;1301;7;-844;2288;1
612;622;10;2237084;2237099;15;87;15;15;10024;106;127;21;1364;0;1;100;8974;42;6667;73;6667;1;1;19395;1;11761;3333;-999;266;1
1108;1120;12;2497122;2497138;16;137;13;16;15672;85;133;48;1373;0;1;40;3685;2865;75;87;9231;1;1;21367;10792;12041;25;-1063;3241;1
333;342;9;764107;764213;106;525;16;106;57020;95;127;32;1353;0;1;70;4922;4497;849;66;5625;1;1;27202;9542;20253;9151;-1515;9872;1
1269;1296;27;374730;374925;195;2463;188;212;296673;42;143;101;1353;0;1;70;843;5322;1385;2;1436;9198;1;33915;14314;229;8615;-59;1;1
1109;1144;35;401768;401951;183;4298;188;189;515942;6;148;142;1353;0;1;70;3089;329;1913;259;1862;9682;1;36333;15441;22624;8087;-622;1;1
1293;1316;23;600561;600841;280;2643;170;285;271889;44;125;81;1353;0;1;70;547;5896;821;17;1353;9825;1;34221;13617;24472;9179;-1963;1;1
1252;1264;12;1229599;1229628;29;269;22;29;26745;71;125;54;1353;0;1;70;1316;227;4138;89;5454;1;1;24297;10792;14624;5862;-2233;5757;1
1051;1064;13;1314158;1314195;37;375;25;37;38401;48;134;86;1353;0;1;70;4272;2204;3514;96;52;1;1;2574;11139;15682;6486;-2;767;1
317;322;5;166852;166856;4;15;5;4;1826;110;135;25;1694;1;0;143;3743;25;8;3;1;1;0;11761;699;6021;-2;-49;1322;1
39;208;169;2410802;2410860;58;5632;286;141;591111;45;125;80;1356;0;1;40;575;4254;3432;1246;5909;4114;0;37507;22279;17634;-6568;-18;1;1
41;212;171;2609514;2609580;66;5951;302;136;617708;38;124;86;1356;0;1;40;605;4727;386;1261;5662;4853;0;37746;2233;18195;-614;-1891;1;1
1611;1619;8;1671950;1671963;13;69;10;14;5361;63;93;30;1656;1;0;80;447;3365;6154;48;8;9286;1;18389;9031;11139;3846;-393;2105;1
1616;1625;9;1725137;1725163;26;138;23;26;8720;48;84;36;1656;1;0;80;374;4103;3462;54;3913;1;1;21399;9542;1415;6539;-5063;3882;1
1613;1622;9;1752541;1752560;19;116;17;19;9105;65;94;29;1658;1;0;80;434;3216;4737;54;5294;1;1;20645;9542;12787;5263;-3868;2942;1
1603;1613;10;1995544;1995586;42;308;25;42;22991;55;94;39;1656;1;0;80;519;2667;2381;6;4;1;1;24885;1;16233;7619;-4168;6868;1
1576;1587;11;2063540;2063558;18;116;17;18;9110;64;94;30;1658;1;0;80;856;4141;6111;66;6471;1;1;20645;10414;12553;3889;-3864;3329;1
662;670;8;266284;266316;32;152;25;32;17101;101;125;24;1630;0;1;120;8123;4063;25;49;32;1;1;21818;9031;15051;75;-121;4235;1
556;564;8;1146657;1146672;15;108;12;15;11491;87;126;39;1626;0;1;120;6839;1;5333;49;6667;1;1;20334;9031;11761;4667;-1688;2288;1
1053;1064;11;701399;701451;52;352;41;53;39648;92;141;49;1360;0;1;175;4353;3846;2115;81;2683;9811;1;25465;10414;1716;7885;-12;8579;1
550;558;8;1154994;1155025;31;190;22;31;21326;95;133;38;1362;0;1;175;8076;2339;2581;59;3636;1;1;22787;9031;14914;7419;-1231;4106;1
775;783;8;1370789;1370812;23;111;16;23;13374;110;134;24;1358;0;1;40;8468;3967;3478;59;5;1;1;20453;9031;13617;6522;-587;3125;1
100;116;16;1002562;1002587;25;211;26;28;23894;102;134;32;1374;0;1;40;1456;4725;64;116;6154;8929;1;23243;12041;13979;36;-1153;6574;1
76;111;35;1012529;1012905;376;6652;359;392;716869;4;140;136;1374;0;1;40;1106;4945;931;255;975;9592;1;38229;15441;25752;9069;-1581;1;1
0;13;13;159043;159085;42;253;36;46;35308;127;151;24;1687;0;1;200;0;5366;3095;77;3611;913;1;24031;11139;16233;6905;903;8355;1
1;18;17;117422;117551;129;1125;63;131;140521;101;151;50;1687;0;1;200;12;487;1318;101;2698;9847;1;30512;12305;21106;8682;-242;1;1
2;11;9;130760;130780;20;110;12;20;10340;71;116;45;1687;0;1;200;24;3889;45;53;75;1;1;20414;9542;1301;55;-2656;3068;1
9;18;9;143523;143544;21;125;14;21;13987;97;141;44;1687;0;1;200;107;3386;4286;53;6429;1;1;20969;9542;13222;5714;-1258;3197;1
14;24;10;149048;149070;22;150;12;22;17566;99;140;41;1687;0;1;200;166;3182;4545;59;8333;1;1;21761;1;13424;5454;-851;3663;1
6;17;11;363701;363718;17;140;11;17;14533;76;125;49;1687;0;1;200;71;2513;6471;65;1;1;1;21461;10414;12305;3529;-189;3168;1
7;19;12;375592;375611;19;199;12;19;20323;74;127;53;1687;0;1;200;83;1272;6316;71;1;1;1;22989;10792;12787;3684;-2021;3787;1
9;18;9;379740;379759;19;110;11;19;12881;99;133;34;1687;0;1;200;107;3567;4737;53;8182;1;1;20414;9542;12787;5263;-852;2942;1
6;14;8;393457;393488;31;196;11;31;22532;97;134;37;1687;0;1;200;71;2097;2581;47;7273;1;1;22923;9031;14914;7419;-1019;4106;1
6;17;11;402394;402418;24;145;13;24;17419;111;135;24;1687;0;1;200;71;4508;4583;65;8461;1;1;21614;10414;13802;5417;-615;4366;1
4;13;9;409986;410023;37;213;17;37;24476;96;134;38;1687;0;1;200;47;3604;2432;53;5294;1;1;23284;9542;15682;7568;-1023;5511;1
2;10;8;421204;421233;29;161;13;29;18711;103;133;30;1687;0;1;200;24;306;2759;47;6154;1;1;22068;9031;14624;7241;-921;385;1
0;12;12;430948;430980;32;304;18;32;34142;90;133;43;1687;0;1;200;0;2083;375;71;6667;1;1;24829;10792;15051;625;-1226;633;1
0;11;11;444148;444169;21;161;12;21;18047;96;133;37;1687;0;1;200;0;303;5238;65;9167;1;1;22068;10414;13222;4762;-1243;3834;1
2;8;6;448681;448720;39;137;18;39;18013;121;143;22;1687;0;1;200;24;4145;1539;36;3333;1;1;21367;7782;15911;8461;272;3882;1
4;12;8;455227;455253;26;125;15;26;14353;102;126;24;1687;0;1;200;47;399;3077;47;5333;1;1;20969;9031;1415;6923;-1029;3479;1
0;8;8;464503;464538;35;189;18;35;21380;99;127;28;1687;0;1;200;0;325;2286;47;4444;1;1;22765;9031;15441;7714;-1162;463;1
28;36;8;3213793;3213815;22;124;16;22;14618;97;141;44;1658;1;0;100;338;2955;3636;48;5;1;1;20934;9031;13424;6364;-79;3012;1
25;33;8;3277804;3277821;17;91;15;17;10957;105;141;36;1658;1;0;100;302;3309;4706;48;5333;1;1;1959;9031;12305;5294;-593;2482;1
1343;1351;8;46714;46725;11;56;11;11;5729;90;117;27;1362;1;0;70;161;3636;7273;59;7273;1;1;17482;9031;10414;2727;-2007;1934;1
0;4;4;224005;224035;30;83;18;31;7446;71;108;37;1360;1;0;70;0;3083;1333;29;2222;9677;1;19191;6021;14771;8667;-2991;2288;1
2;10;8;1798872;1798895;23;131;16;23;12909;81;117;36;1698;0;1;90;24;288;3478;47;5;1;1;21173;9031;13617;6522;-2301;3125;1
1273;1283;10;167280;167335;55;313;33;58;29386;86;103;17;1353;0;1;185;1035;4309;1818;74;303;9483;1;24955;1;17404;8182;-2665;8391;1
25;34;9;281358;281513;155;891;36;155;76438;70;103;33;1353;0;1;185;369;3613;581;66;25;1;1;29499;9542;21903;9419;-3298;9993;1
1206;1214;8;308931;308956;25;134;12;25;14838;100;119;19;1353;0;1;185;2055;33;32;59;6667;1;1;21271;9031;13979;68;-1349;3359;1
71;79;8;471955;472005;50;230;22;50;23697;93;118;25;1353;0;1;185;105;425;16;59;3636;1;1;23617;9031;1699;84;-1951;6574;1
1144;1158;14;113260;113277;17;120;26;17;15146;117;140;23;1372;0;1;40;3119;4958;8235;102;5385;1;1;20792;11461;12305;1765;-139;3945;1
804;817;13;151240;151265;25;133;32;25;16759;114;134;20;1372;0;1;40;809;5908;52;95;4063;1;1;21239;11139;13979;48;-156;5378;1
845;857;12;189673;189695;22;103;25;26;13299;122;142;20;1372;0;1;40;7507;6098;5454;88;48;8461;1;20128;10792;13424;4545;87;4366;1
798;808;10;225718;225742;24;170;23;24;21545;118;141;23;1370;0;1;40;8204;2917;4167;73;4348;1;1;22304;1;13802;5833;-99;3977;1
1090;1103;13;255155;255186;31;168;37;33;21640;119;143;24;1374;0;1;40;3945;5831;4193;95;3514;9394;1;22253;11139;14914;5806;63;6619;1
806;828;22;300303;300316;13;125;35;18;16258;118;140;22;1372;0;1;40;793;5629;5909;16;6286;7222;0;20969;13424;11139;-4091;161;4729;1
963;974;11;657468;657502;34;201;38;35;26197;123;141;18;1372;0;1;40;5802;4626;3235;8;2895;9714;1;23032;10414;15315;6765;182;6173;1
387;396;9;695980;696006;26;169;25;26;17587;96;118;22;1372;0;1;40;5641;2778;3462;66;36;1;1;22279;9542;1415;6539;-187;3882;1
973;989;16;707576;707600;24;150;47;28;19311;120;141;21;1374;0;1;40;5604;6094;6667;116;3404;8571;1;21761;12041;13802;3333;58;633;1
1020;1034;14;720705;720720;15;103;24;17;13577;125;142;17;1372;0;1;40;4927;5095;9333;102;5833;8824;1;20128;11461;11761;667;298;3509;1
317;335;18;732308;732327;19;146;36;29;18123;114;133;19;1372;0;1;40;4621;5731;9474;131;5;6552;1;21644;12553;12787;526;-302;5659;1
1021;1036;15;754445;754492;47;294;51;49;39987;127;157;30;1372;0;1;40;4898;583;3192;109;2941;9592;1;24683;11761;16721;6809;626;9361;1
401;415;14;762911;762937;26;198;42;34;24783;118;134;16;1372;0;1;40;5846;456;5385;102;3333;7647;1;22967;11461;1415;4615;-221;6015;1
1082;1095;13;825488;825519;31;192;34;32;24530;120;140;20;1374;0;1;40;4061;5236;4193;95;3823;9688;1;22833;11139;14914;5806;-19;6619;1
1050;1071;21;856766;856784;18;180;33;23;22591;119;135;16;1376;0;1;40;4433;5238;8571;153;6364;7826;0;22553;13222;12553;-1429;-195;6236;1
979;989;10;891060;891079;19;107;18;19;12543;110;132;22;1372;0;1;40;5583;4368;5263;73;5556;1;1;20294;1;12787;4737;-842;3212;1
346;357;11;900068;900098;30;182;29;30;22232;115;133;18;1370;0;1;40;5051;4485;3667;8;3793;1;1;22601;10414;14771;6333;-457;5461;1
997;1009;12;920577;920619;42;264;38;42;30966;106;132;26;1374;0;1;40;5313;4762;2857;87;3158;1;1;24216;10792;16233;7143;-836;7933;1
357;373;16;929482;929513;31;213;42;39;20512;80;118;38;1374;0;1;40;5196;5706;5161;116;381;7949;1;23284;12041;14914;4839;-2476;7844;1
373;386;13;1058240;1058279;39;308;29;39;37264;113;132;19;1374;0;1;40;5429;3925;3333;95;4483;1;1;24885;11139;15911;6667;-548;7966;1
365;374;9;1084192;1084238;46;265;39;46;26849;88;119;31;1372;0;1;40;5321;3599;1956;66;2308;1;1;24232;9542;16628;8044;-2085;6781;1
357;378;21;1090984;1091013;29;229;53;37;27597;111;134;23;1372;0;1;40;5204;624;7241;153;3962;7838;1;23598;13222;14624;2759;-585;8854;1
349;362;13;1115618;1115654;36;270;34;38;28445;96;126;30;1372;0;1;40;5088;4231;3611;95;3823;9474;1;24314;11139;15563;6389;-1769;7512;1
347;364;17;1124976;1125024;48;390;51;50;46226;110;127;17;1372;0;1;40;5058;5221;3542;124;3333;96;1;25911;12305;16812;6458;-74;9685;1
277;292;15;1151809;1151838;29;217;32;32;25231;107;126;19;1376;0;1;40;4026;5012;5172;109;4688;9063;1;23365;11761;14624;4828;-916;7079;1
827;834;7;1930709;1930720;11;56;11;11;6337;97;132;35;1356;0;1;40;7699;2727;6364;52;6364;1;1;17482;8451;10414;3636;-1159;1822;1
1057;1069;12;114430;114444;14;114;21;14;12693;90;140;50;1362;0;1;185;4302;3214;8571;88;5714;1;1;20569;10792;11461;1429;-1301;2901;1
1181;1191;10;210828;210843;15;99;15;15;10868;92;140;48;1360;0;1;175;2485;34;6667;74;6667;1;1;19956;1;11761;3333;-1424;266;1
1302;1314;12;165248;165281;33;244;24;33;23009;66;124;58;1358;0;1;175;648;3838;3636;88;5;1;1;23874;10792;15185;6364;-2633;6514;1
1281;1289;8;212793;212803;10;56;9;10;5712;89;117;28;1366;0;1;100;1127;3;8;59;8889;1;1;17482;9031;1;2;-2031;1852;1
264;280;16;1230964;1230988;24;303;20;24;29885;54;133;79;1696;0;1;60;3113;2109;6667;94;8;1;1;24814;12041;13802;3333;-2295;633;1
136;151;15;1294504;1294539;35;308;30;35;31689;79;124;45;1698;0;1;60;1602;4133;4286;88;5;1;1;24885;11761;15441;5714;-1962;8153;1
232;241;9;1384749;1384772;23;139;19;23;15080;89;126;37;1696;0;1;60;2736;3285;3913;53;4737;1;1;2143;9542;13617;6087;-1524;3464;1
272;284;12;226474;226495;21;187;20;21;13351;49;101;52;1362;1;0;200;3994;2579;5714;88;6;1;1;22718;10792;13222;4286;-4422;417;1
235;398;163;739072;739080;8;872;165;53;95600;103;119;16;1387;0;1;40;3389;3313;491;1175;9879;1509;0;29405;22122;9031;-9509;-1435;9987;1
525;563;38;1054602;1054610;8;170;44;15;21321;118;134;16;1687;0;1;200;6224;4408;2105;225;8636;5333;0;22304;15798;9031;-7895;-202;5029;1
916;1142;226;810184;810291;107;1753;249;132;202897;101;135;34;1358;0;1;40;3181;9275;4735;1664;9076;8106;0;32438;23541;20294;-5265;-958;1;1
1063;1072;9;1915213;1915220;7;49;9;7;6391;118;141;23;1358;0;1;50;4212;2222;7778;66;1;1;0;16902;9542;8451;-2222;19;1687;1
77;114;37;1259448;1259470;22;383;81;59;39202;96;111;15;1376;0;1;40;1119;5295;5946;269;4568;3729;0;25832;15682;13424;-4054;-2004;9681;1
545;583;38;425925;425936;11;162;46;27;17260;99;126;27;1360;0;1;40;8015;6124;2895;279;8261;4074;0;22095;15798;10414;-7105;-1676;6839;1
449;588;139;1019477;1019497;20;1107;155;85;128883;107;126;19;1353;0;1;70;6637;6018;1439;1027;8968;2353;0;30442;2143;1301;-8561;-904;1;1
781;801;20;1045940;1045960;20;178;60;39;22761;120;135;15;1353;0;1;70;816;555;1;148;3333;5128;5;22504;1301;1301;0;-1;6574;1
48;116;68;548048;548050;2;131;68;3;16504;54;190;136;1227;0;1;40;782;368;294;554;1;6667;0;21173;18325;301;-9706;-157;2482;1
768;918;150;370947;370955;8;660;153;61;89110;113;156;43;1360;1;0;80;65;45;533;1103;9804;1312;0;28195;21761;9031;-9467;548;9975;1
505;522;17;1998060;1998064;4;29;18;6;3489;116;126;10;1358;0;1;50;7437;5735;2353;125;9444;6667;0;14624;12305;6021;-7647;-601;1734;1
301;340;39;903475;903521;46;1228;69;64;124716;55;126;71;1666;0;1;40;3613;3155;8478;234;5652;7188;1;30892;15911;16628;1522;-2066;9999;1
642;744;102;942520;942532;12;536;118;52;61209;106;127;21;1670;0;1;40;7689;5621;1177;611;8644;2308;0;27292;20086;10792;-8824;-1078;9979;1
867;1104;237;949655;949669;14;1695;247;106;197365;103;132;29;1668;0;1;40;6763;4891;591;1421;9595;1321;0;32292;23747;11461;-9409;-903;1;1
517;626;109;982032;982049;17;955;136;80;104555;99;119;20;1666;0;1;40;6206;4846;156;654;8015;2125;0;298;20374;12305;-844;-1447;1;1
1033;1050;17;181432;181441;9;75;28;15;10500;134;149;15;1664;0;1;40;738;5098;5294;102;6071;6;0;18751;12305;9542;-4706;938;2699;1
647;667;20;2162587;2162594;7;62;24;15;5744;82;109;27;1370;1;0;80;9445;5571;35;146;8333;4667;0;17924;1301;8451;-65;-2762;2532;1
796;822;26;2182560;2182564;4;68;26;11;6013;79;101;22;1370;1;0;80;8;3462;1539;19;1;3636;0;18325;1415;6021;-8461;-3092;2105;1
1037;1055;18;2195695;2195707;12;78;29;18;9512;111;135;24;1370;1;0;80;4599;6389;6667;131;6207;6667;0;18921;12553;10792;-3333;-473;3601;1
1019;1035;16;2224815;2224820;5;49;17;5;5842;108;140;32;1366;1;0;80;4846;3875;3125;117;9412;1;0;16902;12041;699;-6875;-686;1852;1
1105;1130;25;2240686;2240690;4;57;25;8;5917;92;117;25;1364;1;0;80;3431;43;16;183;1;5;0;17559;13979;6021;-84;-189;2061;1
922;941;19;2253261;2253265;4;52;19;7;5111;89;110;21;1360;1;0;80;6162;3158;2105;14;1;5714;0;1716;12787;6021;-7895;-2321;1812;1
1137;1154;17;2265683;2265692;9;77;25;16;8170;95;119;24;1356;1;0;80;2979;4967;5294;125;68;5625;0;18865;12305;9542;-4706;-1711;2699;1
344;353;9;2278012;2278020;8;46;10;8;5003;95;127;32;1354;1;0;80;5081;3611;8889;66;9;1;0;16628;9542;9031;-1111;-1503;1773;1
1098;1115;17;2293200;2293208;8;59;21;8;6318;97;118;21;1360;1;0;80;3603;5662;4706;125;8095;1;0;17708;12305;9031;-5294;-1634;2482;1
445;790;345;4569159;4569177;18;4307;361;123;361568;64;118;54;1360;1;0;100;6544;3064;522;2537;9557;1463;0;36342;25378;12553;-9478;-3442;1;1
360;998;638;4601186;4601217;31;11797;705;225;1290423;78;252;174;1358;1;0;100;5302;4035;486;4698;905;1378;0;40718;28048;14914;-9514;-1454;1;1
398;966;568;4615178;4615208;30;10166;593;166;1096472;78;141;63;1360;1;0;100;5794;4034;528;4177;9578;1807;0;40072;27543;14771;-9472;-1574;1;1
1163;1205;42;4639384;4639402;18;359;79;49;50750;130;158;28;1360;1;0;100;2279;5251;4286;309;5317;3674;0;25551;16233;12553;-5714;1044;9537;1
452;922;470;4652868;4652894;26;6670;501;171;724380;85;134;49;1356;1;0;100;6401;4542;553;3466;9381;1521;0;38241;26721;1415;-9447;-1515;1;1
779;923;144;4662945;4662964;19;981;187;105;111196;97;134;37;1360;1;0;100;6427;6414;1319;1059;77;181;0;29917;21584;12787;-8681;-1145;1;1
719;927;208;4689395;4689414;19;1535;239;120;173468;97;132;35;1358;1;0;100;6348;6116;913;1532;8703;1583;0;31861;23181;12787;-9086;-1171;1;1
59;1245;1186;4712084;4712115;31;15775;1275;276;1689009;61;135;74;1354;1;0;100;872;5709;261;8759;9302;1123;0;4198;30741;14914;-9739;-1635;1;1
435;729;294;4737382;4737394;12;1851;304;87;201109;91;132;41;1352;1;0;100;6435;4753;408;2175;9671;1379;0;32674;24683;10792;-9592;-1512;1;1
460;555;95;2161400;2161408;8;343;106;28;39231;105;127;22;1358;0;1;40;6775;5487;842;7;8962;2857;0;25353;19777;9031;-9158;-1064;9549;1
306;363;57;2184746;2184752;6;194;58;10;22315;105;134;29;1356;0;1;40;4513;4327;1053;42;9828;6;0;22878;17559;7782;-8947;-1014;5659;1
